Date,FTSE ALL Share,FTSE Small Cap Index
2022-11-01,4139.65395,6226.46157
2022-12-01,4075.12514,6240.02779
2023-01-01,4255.72416,6500.18774
2023-02-01,4304.47934,6460.99147
2023-03-01,4157.88398,6120.24958
2023-04-01,4283.82927,6228.08751
2023-05-01,4066.80162,6119.52665
2023-06-01,4096.25797,6094.2262
2023-07-01,4198.01695,6287.8779
2023-08-01,4059.52954,6083.84172
2023-09-01,4127.24124,6097.84008
2023-10-01,3954.35447,5723.94213
2023-11-01,4053.80196,6006.52641
2023-12-01,4232.01116,6425.02821
2024-01-01,4173.06102,6296.61101
2024-02-01,4163.20633,6257.57731
2024-03-01,4338.0458,6388.89684
2024-04-01,4430.25386,6517.85839
2024-05-01,4517.07634,6783.95376
2024-06-01,4451.92039,6727.92219
2024-07-01,4588.30996,6989.66585
2024-08-01,4576.73194,6955.25885
